일시,광역자치단체,최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),환자수,연도,월
2021-07-05 00:00:00,부산광역시,28.2,24.6,22.7,20.8,91,0,2021,7
2021-07-05 00:00:00,대구광역시,27.95,26.25,23.15,20.25,82.15,0,2021,7
2021-07-05 00:00:00,인천광역시,26.4,25.5,22.3,19.8,73.4,1,2021,7
2021-07-05 00:00:00,광주광역시,26.8,23.1,21.9,20.1,98.6,0,2021,7
2021-07-05 00:00:00,대전광역시,27.8,25.4,22.5,20.6,90.8,0,2021,7
2021-07-05 00:00:00,울산광역시,28.9,26.6,23.5,21.5,89.8,0,2021,7
2021-07-05 00:00:00,세종특별자치시,27.6,26.2,22.1,19.9,84.9,0,2021,7
2021-07-05 00:00:00,경기도,28.34,26.92,22.74,19.57,83.09,1,2021,7
2021-07-05 00:00:00,강원도,28.84,27.61,22.85,18.96,79.99,0,2021,7
2021-07-05 00:00:00,충청북도,27.91,26.22,22.69,20.07,82.99,0,2021,7
2021-07-05 00:00:00,충청남도,27.66,25.54,22.07,19.43,88.69,0,2021,7
2021-07-05 00:00:00,전라북도,26.46,23.64,21.45,20,92.94,0,2021,7
2021-07-05 00:00:00,전라남도,27.56,23.97,21.55,19.79,96.59,0,2021,7
2021-07-05 00:00:00,경상북도,27.98,26.12,22.93,20.3,83.14,0,2021,7
2021-07-05 00:00:00,경상남도,27.82,24.72,22.3,20.71,93.02,0,2021,7
2021-07-05 00:00:00,제주특별자치도,32.7,31.2,27.6,23.4,78.8,0,2021,7
2021-07-06 00:00:00,서울특별시,30.7,30.1,25.3,21,73.4,0,2021,7
2021-07-06 00:00:00,부산광역시,28.2,24.7,23.4,21.5,96.3,0,2021,7
2021-07-06 00:00:00,대구광역시,28.6,25.9,22.7,20.65,93.15,0,2021,7
2021-07-06 00:00:00,인천광역시,27.6,27.1,24.1,21.2,70.4,0,2021,7
2021-07-06 00:00:00,광주광역시,28.3,24.5,23.1,21.4,99,0,2021,7
2021-07-06 00:00:00,대전광역시,29.3,26.2,23.6,21.3,95.1,0,2021,7
2021-07-06 00:00:00,울산광역시,28.4,24.7,23.7,22.1,97.8,0,2021,7
2021-07-06 00:00:00,세종특별자치시,28.7,26.3,23.4,20.7,89.5,0,2021,7
2021-07-06 00:00:00,경기도,30.62,29.77,24.53,19.8,80.19,1,2021,7
2021-07-06 00:00:00,강원도,29.75,28.47,23.48,19.35,82.21,2,2021,7
2021-07-06 00:00:00,충청북도,29.44,27.58,23.53,20.33,87.47,0,2021,7
2021-07-06 00:00:00,충청남도,29.09,26.58,23.3,20.23,92.5,0,2021,7
2021-07-06 00:00:00,전라북도,27.76,24.51,22.72,20.89,96.29,0,2021,7
2021-07-06 00:00:00,전라남도,28.7,25.08,23.78,22.13,97.56,0,2021,7
2021-07-06 00:00:00,경상북도,28.66,26.04,22.83,20.65,92.28,0,2021,7
2021-07-06 00:00:00,경상남도,28.22,24.95,22.99,21.02,96.44,0,2021,7
2021-07-06 00:00:00,제주특별자치도,33.2,32,29.5,28.1,68,0,2021,7
2021-07-07 00:00:00,서울특별시,30.8,29.1,26.4,23.9,78.5,2,2021,7
2021-07-07 00:00:00,부산광역시,29.5,26.4,23.7,21.6,95.8,0,2021,7
2021-07-07 00:00:00,대구광역시,30.1,26.9,24.1,22.3,96.5,0,2021,7
2021-07-07 00:00:00,인천광역시,28.9,27.2,25,22.9,76.5,1,2021,7
2021-07-07 00:00:00,광주광역시,31.7,27.8,25.2,24.1,99,0,2021,7
2021-07-07 00:00:00,대전광역시,31.7,28.5,26,23.5,94.5,0,2021,7
2021-07-07 00:00:00,울산광역시,29.5,25.7,23.5,22.1,98,0,2021,7
2021-07-07 00:00:00,세종특별자치시,31,28.2,25.2,22.8,91.8,0,2021,7
2021-07-07 00:00:00,경기도,30.8,29.05,25.3,21.9,84.87,4,2021,7
2021-07-07 00:00:00,강원도,30.07,28.27,24.13,20.54,86.69,0,2021,7
2021-07-07 00:00:00,충청북도,30.27,27.81,24.56,21.7,89.87,0,2021,7
2021-07-07 00:00:00,충청남도,30.63,27.67,24.76,22.42,94.11,0,2021,7
2021-07-07 00:00:00,전라북도,30.68,27.79,24.76,23.06,95.13,0,2021,7
